Bureau of Justice Statistics,,,,,,,,,,,,,,
filename:  cjee0403.csv,,,,,,,,,,,,,,
"table #:  3 Percent distribution of expenditure for the justice system by type of government, fiscal 2004",,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,,,,,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,
date of version:  11/15/2006,,,,,,,,,,,,,,

"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2004",,,,,,,,,,,,,,

(Dollar amounts in thousands),,,,,,,,,,,,,,
,,,Total justice system,,,Police protection,,,Judicial and legal,,,Corrections,,
State and type of government,Population 2004 (thousands),Total direct expenditure/a,Amount,Percent of total direct expenditure/b,,Amount,Percent of total justice system,,Amount,Percent of total justice system,,Amount,Percent of total justice system,

"States-local, total","289,135","$2,260,330,261 ","$159,192,291 ",7,%,"$69,734,664 ",43.8,%,"$33,021,002 ",20.7,%,"$56,436,625 ",35.5,%
State,-,"$1,016,469,065 ","$61,758,342 ",6.1,,"$9,471,421 ",15.3,,"$15,323,722 ",24.8,,"$36,963,199 ",59.9
"Local, total",-,"$1,243,861,196 ","$97,433,949 ",7.8,,"$60,263,243 ",61.9,,"$17,697,280 ",18.2,,"$19,473,426 ",20
Counties,-,"$278,238,679 ","$47,693,700 ",17.1,,"$17,621,245 ",36.9,,"$13,655,554 ",28.6,,"$16,416,901 ",34.4
Municipalities,-,"$434,327,138 ","$49,740,249 ",11.5,,"$42,641,998 ",85.7,,"$4,041,726 ",8.1,,"$3,056,525 ",6.1

Alabama,"4,525","$31,268,214 ","$1,695,856 ",5.4,,"$770,392 ",45.4,,"$331,628 ",19.6,,"$593,836 ",35
State,-,"$15,379,841 ","$719,042 ",4.7,,"$106,294 ",14.8,,"$220,870 ",30.7,,"$391,878 ",54.5
"Local, total",-,"$15,888,373 ","$976,814 ",6.1,,"$664,098 ",68,,"$110,758 ",11.3,,"$201,958 ",20.7
Counties,-,"$2,144,395 ","$441,984 ",20.6,,"$179,146 ",40.5,,"$72,312 ",16.4,,"$190,526 ",43.1
Municipalities,-,"$4,665,498 ","$534,830 ",11.5,,"$484,952 ",90.7,,"$38,446 ",7.2,,"$11,432 ",2.1

Alaska,658,"$10,019,077 ","$503,614 ",5,,"$187,499 ",37.2,,"$137,923 ",27.4,,"$178,192 ",35.4
