Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus1103.csv,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2011 (preliminary)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2011, NCJ 247020",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2011 (preliminary)",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
