Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeee08fn03.csv,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal year 2008",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal year 2008",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,Total justice system,,,Police protection,,Judicial and legal,,Corrections,
State and type of government,Population 2008 (thousands),Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total direct expenditure/b,Amount,Percent of total direct expenditure/b,Amount,Percent of total direct expenditure/b
,,,,,,,,,,
Counties,-,810281,205215,25.3,135164,65.9,39981,19.5,30070,14.7
Municipalities,-,1091306,122813,11.3,115541,94.1,7092,5.8,180,0.1
,,,,,,,,,,
Wisconsin,5628,49283662,3587637,7.3,1552013,43.3,589121,16.4,1446503,40.3
State,-,22536947,1384615,6.1,125676,9.1,282932,20.4,976007,70.5
"Local, total",-,26746715,2203022,8.2,1426337,64.7,306189,13.9,470496,21.4
Counties,-,6581466,1136712,17.3,422257,37.1,244261,21.5,470194,41.4
Municipalities,-,7670068,1066310,13.9,1004080,94.2,61928,5.8,302,0
,,,,,,,,,,
Wyoming,533,7519707,509273,6.8,170114,33.4,98900,19.4,240259,47.2
State,-,3312577,241048,7.3,15862,6.6,60982,25.3,164204,68.1
"Local, total",-,4207130,268225,6.4,154252,57.5,37918,14.1,76055,28.4
Counties,-,1069015,169104,15.8,63847,37.8,29701,17.6,75556,44.7
Municipalities,-,811374,99121,12.2,90405,91.2,8217,8.3,499,0.5
,,,,,,,,,,
Note:  Local government data are estimates subject to variability.,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2009.",,,,,,,,,,
"a/ Total direct expenditures include outlays of states and all types of local governments including independent school districts and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines. ",,,,,,,,,,
b/ Justice system expenditure of independent school districts (primarily for special police forces) are not available.,,,,,,,,,,
