"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0109.wk1",,,,,,,,,,,,,,,,,,,,,,
"table 9.  Justice system expenditure of State governments by activity, character, and object, fiscal 2001",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  11/5/2001",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 9.   Justice system expenditure of State governments by activity, character, and object, fiscal 2001",,,,,,,,,,,,,,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"                                     Total justice system",,,,,"                                  Police protection",,,,,"                                Judicial and Legal",,,,,"                                                        Corrections",,,,,
,,"                                     Direct expenditure",,,,,"                               Direct expenditure",,,,,"                              Direct expenditure",,,,,"                                                Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,"                       Capital outlay",,,
"State","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total","Direct current","Total","Construction only","Intergovernmental expenditures","State"
,,,,,,,,,,,,,,,,,,,,,,
"Total",$62702746.00,$58150894.00,$54984396.00,$3166498.00,$4551852.00,$10144976.00,$8867896.00,$8299854.00,$568042.00,$1277080.00,$14393229.00,$13472052.00,$13098102.00,$373950.00,$921177.00,$38164541.00,$35810946.00,$33586440.00,$2224506.00,$1768385.00,$2353595.00,"Total"
,,,,,,,,,,,,,,,,,,,,,,
"Alabama",$626162.00,$596736.00,$584900.00,$11836.00,$29426.00,$124884.00,$95458.00,$88192.00,$7266.00,$29426.00,$197519.00,$197519.00,$195799.00,$1720.00,$0.00,$303759.00,$303759.00,$300909.00,$2850.00,$747.00,$0.00,"Alabama"
"Alaska",$358304.00,$344552.00,$337854.00,$6698.00,$13752.00,$64035.00,$50313.00,$48886.00,$1427.00,$13722.00,$121659.00,$121629.00,$118502.00,$3127.00,$30.00,$172610.00,$172610.00,$170466.00,$2144.00,$880.00,$0.00,"Alaska"
"Arizona",$1131731.00,$971539.00,$941155.00,$30384.00,$160192.00,$161140.00,$146358.00,$132869.00,$13489.00,$14782.00,$210268.00,$156751.00,$151983.00,$4768.00,$53517.00,$760323.00,$668430.00,$656303.00,$12127.00,$2723.00,$91893.00,"Arizona"
"Arkansas",$491285.00,$473986.00,$449527.00,$24459.00,$17299.00,$77425.00,$77425.00,$69262.00,$8163.00,$0.00,$123340.00,$119438.00,$114797.00,$4641.00,$3902.00,$290520.00,$277123.00,$265468.00,$11655.00,$8437.00,$13397.00,"Arkansas"
"California",$9317054.00,$8765169.00,$8544304.00,$220865.00,$551885.00,$1324682.00,$1090217.00,$1044846.00,$45371.00,$234465.00,$2678675.00,$2620202.00,$2612727.00,$7475.00,$58473.00,$5313697.00,$5054750.00,$4886731.00,$168019.00,$123810.00,$258947.00,"California"
,,,,,,,,,,,,,,,,,,,,,,
"Colorado",$991894.00,$901129.00,$814720.00,$86409.00,$90765.00,$95073.00,$92277.00,$78452.00,$13825.00,$2796.00,$192400.00,$192400.00,$182704.00,$9696.00,$0.00,$704421.00,$616452.00,$553564.00,$62888.00,$55699.00,$87969.00,"Colorado"
"Connecticut",$1177725.00,$1175469.00,$1101631.00,$73838.00,$2256.00,$156543.00,$156421.00,$141424.00,$14997.00,$122.00,$416292.00,$416292.00,$389617.00,$26675.00,$0.00,$604890.00,$602756.00,$570590.00,$32166.00,$27505.00,$2134.00,"Connecticut"
"Delaware",$411399.00,$403586.00,$392816.00,$10770.00,$7813.00,$66259.00,$63432.00,$59699.00,$3733.00,$2827.00,$97153.00,$92167.00,$91016.00,$1151.00,$4986.00,$247987.00,$247987.00,$242101.00,$5886.00,$4089.00,$0.00,"Delaware"
"Florida",$3398761.00,$3365864.00,$3209096.00,$156768.00,$32897.00,$398715.00,$393853.00,$369284.00,$24569.00,$4862.00,$751929.00,$724129.00,$702728.00,$21401.00,$27800.00,$2248117.00,$2247882.00,$2137084.00,$110798.00,$78113.00,$235.00,"Florida"
"Georgia",$1438972.00,$1374194.00,$1305295.00,$68899.00,$64778.00,$270669.00,$254582.00,$234123.00,$20459.00,$16087.00,$162002.00,$148758.00,$144986.00,$3772.00,$13244.00,$1006301.00,$970854.00,$926186.00,$44668.00,$24521.00,$35447.00,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",$320497.00,$313417.00,$303378.00,$10039.00,$7080.00,$8471.00,$5294.00,$5039.00,$255.00,$3177.00,$163419.00,$159516.00,$152941.00,$6575.00,$3903.00,$148607.00,$148607.00,$145398.00,$3209.00,$1806.00,$0.00,"Hawaii"
"Idaho",$255244.00,$251742.00,$237099.00,$14643.00,$3502.00,$42569.00,$40880.00,$35653.00,$5227.00,$1689.00,$53533.00,$53533.00,$52475.00,$1058.00,$0.00,$159142.00,$157329.00,$148971.00,$8358.00,$5707.00,$1813.00,"Idaho"
"Illinois",$2076062.00,$1947744.00,$1735481.00,$212263.00,$128318.00,$390950.00,$354783.00,$326827.00,$27956.00,$36167.00,$294278.00,$274883.00,$270303.00,$4580.00,$19395.00,$1390834.00,$1318078.00,$1138351.00,$179727.00,$162484.00,$72756.00,"Illinois"
"Indiana",$953266.00,$930368.00,$871440.00,$58928.00,$22898.00,$240440.00,$236742.00,$216288.00,$20454.00,$3698.00,$99790.00,$99790.00,$98420.00,$1370.00,$0.00,$613036.00,$593836.00,$556732.00,$37104.00,$20106.00,$19200.00,"Indiana"
"Iowa",$603374.00,$535996.00,$528243.00,$7753.00,$67378.00,$84809.00,$84316.00,$82915.00,$1401.00,$493.00,$226651.00,$217003.00,$213366.00,$3637.00,$9648.00,$291914.00,$234677.00,$231962.00,$2715.00,$1252.00,$57237.00,"Iowa"
,,,,,,,,,,,,,,,,,,,,,,
"Kansas",$528717.00,$472506.00,$451141.00,$21365.00,$56211.00,$53358.00,$53358.00,$47690.00,$5668.00,$0.00,$138864.00,$134022.00,$131395.00,$2627.00,$4842.00,$336495.00,$285126.00,$272056.00,$13070.00,$9954.00,$51369.00,"Kansas"
"Kentucky",$957567.00,$869005.00,$797326.00,$71679.00,$88562.00,$192738.00,$166961.00,$137865.00,$29096.00,$25777.00,$303910.00,$262745.00,$253913.00,$8832.00,$41165.00,$460919.00,$439299.00,$405548.00,$33751.00,$27532.00,$21620.00,"Kentucky"
"Louisiana",$949113.00,$755980.00,$710686.00,$45294.00,$193133.00,$240529.00,$187770.00,$172246.00,$15524.00,$52759.00,$127527.00,$126081.00,$122903.00,$3178.00,$1446.00,$581057.00,$442129.00,$415537.00,$26592.00,$14104.00,$138928.00,"Louisiana"
"Maine",$212635.00,$210820.00,$206735.00,$4085.00,$1815.00,$51765.00,$50500.00,$47135.00,$3365.00,$1265.00,$66356.00,$65806.00,$65436.00,$370.00,$550.00,$94514.00,$94514.00,$94164.00,$350.00,$147.00,$0.00,"Maine"
"Maryland",$1657677.00,$1547956.00,$1455484.00,$92472.00,$109721.00,$334336.00,$246993.00,$236395.00,$10598.00,$87343.00,$344836.00,$336936.00,$311108.00,$25828.00,$7900.00,$978505.00,$964027.00,$907981.00,$56046.00,$47220.00,$14478.00,"Maryland"
,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",$2044585.00,$1802236.00,$1707774.00,$94462.00,$242349.00,$327536.00,$266696.00,$250146.00,$16550.00,$60840.00,$683906.00,$674593.00,$638462.00,$36131.00,$9313.00,$1033143.00,$860947.00,$819166.00,$41781.00,$24998.00,$172196.00,"Massachusetts"
"Michigan",$2259684.00,$2049954.00,$1924093.00,$125861.00,$209730.00,$312540.00,$283525.00,$272386.00,$11139.00,$29015.00,$271765.00,$152648.00,$149056.00,$3592.00,$119117.00,$1675379.00,$1613781.00,$1502651.00,$111130.00,$87702.00,$61598.00,"Michigan"
"Minnesota",$774047.00,$664936.00,$638905.00,$26031.00,$109111.00,$168712.00,$149109.00,$139109.00,$10000.00,$19603.00,$224298.00,$205791.00,$201761.00,$4030.00,$18507.00,$381037.00,$310036.00,$298035.00,$12001.00,$2476.00,$71001.00,"Minnesota"
"Mississippi",$405874.00,$392100.00,$382731.00,$9369.00,$13774.00,$71659.00,$69552.00,$66575.00,$2977.00,$2107.00,$62588.00,$62588.00,$61771.00,$817.00,$0.00,$271627.00,$259960.00,$254385.00,$5575.00,$1676.00,$11667.00,"Mississippi"
"Missouri",$978794.00,$930309.00,$817399.00,$112910.00,$48485.00,$177903.00,$142457.00,$125868.00,$16589.00,$35446.00,$196177.00,$196177.00,$186032.00,$10145.00,$0.00,$604714.00,$591675.00,$505499.00,$86176.00,$82295.00,$13039.00,"Missouri"
,,,,,,,,,,,,,,,,,,,,,,
"Montana",$183537.00,$163105.00,$148723.00,$14382.00,$20432.00,$40971.00,$26074.00,$24429.00,$1645.00,$14897.00,$35611.00,$30076.00,$25392.00,$4684.00,$5535.00,$106955.00,$106955.00,$98902.00,$8053.00,$7515.00,$0.00,"Montana"
"Nebraska",$287416.00,$272699.00,$234847.00,$37852.00,$14717.00,$67378.00,$53121.00,$44180.00,$8941.00,$14257.00,$43902.00,$43902.00,$43484.00,$418.00,$0.00,$176136.00,$175676.00,$147183.00,$28493.00,$26460.00,$460.00,"Nebraska"
"Nevada",$346284.00,$343980.00,$314247.00,$29733.00,$2304.00,$62011.00,$61935.00,$55071.00,$6864.00,$76.00,$48705.00,$47405.00,$47163.00,$242.00,$1300.00,$235568.00,$234640.00,$212013.00,$22627.00,$19989.00,$928.00,"Nevada"
"New Hampshire",$207970.00,$200413.00,$187805.00,$12608.00,$7557.00,$41482.00,$40407.00,$32755.00,$7652.00,$1075.00,$82520.00,$76942.00,$75951.00,$991.00,$5578.00,$83968.00,$83064.00,$79099.00,$3965.00,$1734.00,$904.00,"New Hampshire"
"New Jersey",$2209268.00,$2113009.00,$2046354.00,$66655.00,$96259.00,$404771.00,$399227.00,$381280.00,$17947.00,$5544.00,$597729.00,$585729.00,$575137.00,$10592.00,$12000.00,$1206768.00,$1128053.00,$1089937.00,$38116.00,$31070.00,$78715.00,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",$465807.00,$465807.00,$455357.00,$10450.00,$0.00,$86949.00,$86949.00,$81838.00,$5111.00,$0.00,$155835.00,$155835.00,$152494.00,$3341.00,$0.00,$223023.00,$223023.00,$221025.00,$1998.00,$1606.00,$0.00,"New Mexico"
"New York",$4703938.00,$4456430.00,$4076882.00,$379548.00,$247508.00,$496925.00,$435777.00,$424111.00,$11666.00,$61148.00,$1640102.00,$1597053.00,$1501704.00,$95349.00,$43049.00,$2566911.00,$2423600.00,$2151067.00,$272533.00,$245728.00,$143311.00,"New York"
"North Carolina",$1778859.00,$1733155.00,$1670859.00,$62296.00,$45704.00,$338731.00,$334387.00,$310387.00,$24000.00,$4344.00,$502556.00,$464224.00,$451268.00,$12956.00,$38332.00,$937572.00,$934544.00,$909204.00,$25340.00,$18028.00,$3028.00,"North Carolina"
"North Dakota",$81070.00,$77298.00,$71011.00,$6287.00,$3772.00,$9815.00,$9707.00,$8897.00,$810.00,$108.00,$33650.00,$32128.00,$30878.00,$1250.00,$1522.00,$37605.00,$35463.00,$31236.00,$4227.00,$3701.00,$2142.00,"North Dakota"
