Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus0903.csv,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2009 (final)",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  ,,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2009 (revised)",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
,,,,,,,,,,
,,,,,,Percent,,Percent,,Percent
,Population,,,Percent of,,of total,,of total,,of total
State and type,2009,Total direct,,total direct,,justice,,justice,,justice
of government,(thousands),expenditure/a,Amount,expenditure/b,Amount,system,Amount,system,Amount,system
,,,,,,,,,,
"States-local, total",307007,2985739458,211401934,7.1,94320431,44.6,42727668,20.2,74353835,35.2
State,-,1341115850,80945324,6,12216371,15.1,20887445,25.8,47841508,59.1
"Local, total",-,1644623608,130456610,7.9,82104060,62.9,21840223,16.7,26512327,20.3
Counties,-,359148436,64706850,18,25258565,39,16718512,25.8,22729773,35.1
Municipalities,-,547424846,65749760,12,56845495,86.5,5121711,7.8,3782554,5.8
,,,,,,,,,,
Alabama,4709,40915079,2292929,5.6,1120809,48.9,429550,18.7,742570,32.4
State,-,19886631,956384,4.8,155368,16.2,292377,30.6,508639,53.2
"Local, total",-,21028448,1336545,6.4,965441,72.2,137173,10.3,233931,17.5
Counties,-,2512618,600286,23.9,295293,49.2,84912,14.1,220081,36.7
Municipalities,-,5866408,736259,12.6,670148,91,52261,7.1,13850,1.9
,,,,,,,,,,
Alaska,698,14582806,797179,5.5,302741,38,231470,29,262968,33
State,-,9375140,550801,5.9,79705,14.5,211207,38.3,259889,47.2
"Local, total",-,5207666,246378,4.7,223036,90.5,20263,8.2,3079,1.2
Boroughs,-,2136674,52444,2.5,38901,74.2,13318,25.4,225,0.4
Municipalities,-,2899475,193934,6.7,184135,94.9,6945,3.6,2854,1.5
,,,,,,,,,,
Arizona,6596,53959669,5001158,9.3,2253604,45.1,963914,19.3,1783640,35.7
State,-,21897848,1527862,7,255782,16.7,185680,12.2,1086400,71.1
"Local, total",-,32061821,3473296,10.8,1997822,57.5,778234,22.4,697240,20.1
Counties,-,4403365,1706031,38.7,412908,24.2,609124,35.7,683999,40.1
Municipalities,-,11123233,1767265,15.9,1584914,89.7,169110,9.6,13241,0.7
,,,,,,,,,,
Arkansas,2889,20621337,1139697,5.5,505583,44.4,202165,17.7,431949,37.9
State,-,11465615,483815,4.2,64360,13.3,114740,23.7,304715,63
"Local, total",-,9155722,655882,7.2,441223,67.3,87425,13.3,127234,19.4
Counties,-,966468,307346,31.8,126248,41.1,56652,18.4,124446,40.5
Municipalities,-,2837355,348536,12.3,314975,90.4,30773,8.8,2788,0.8
,,,,,,,,,,
California,36962,426296345,39105548,9.2,15809315,40.4,9164099,23.4,14132134,36.1
State,-,159035308,14774799,9.3,1663859,11.3,4283643,29,8827297,59.7
"Local, total",-,267261037,24330749,9.1,14145456,58.1,4880456,20.1,5304837,21.8
Counties,-,64448438,13907851,21.6,4339944,31.2,4442472,31.9,5125435,36.9
Municipalities,-,70076985,10422898,14.9,9805512,94.1,437984,4.2,179402,1.7
,,,,,,,,,,
Colorado,5025,46720893,3303938,7.1,1538981,46.6,581383,17.6,1183574,35.8
State,-,18040727,1370975,7.6,127419,9.3,324591,23.7,918965,67
"Local, total",-,28680166,1932963,6.7,1411562,73,256792,13.3,264609,13.7
Counties,-,3584361,813925,22.7,513072,63,136619,16.8,164234,20.2
Municipalities,-,9625710,1119038,11.6,898490,80.3,120173,10.7,100375,9
,,,,,,,,,,
Connecticut,3518,37397712,2400876,6.4,997521,41.5,678366,28.3,724989,30.2
State,-,21332351,1569681,7.4,209541,13.3,635151,40.5,724989,46.2
"Local, total",-,16065361,831195,5.2,787980,94.8,43215,5.2,0,0
Municipalities,-,13924730,831195,6,787980,94.8,43215,5.2,0,0
,,,,,,,,,,
Delaware,885,9349210,708293,7.6,284141,40.1,151389,21.4,272763,38.5
State,-,6155706,512838,8.3,103909,20.3,136166,26.6,272763,53.2
"Local, total",-,3193504,195455,6.1,180232,92.2,15223,7.8,0,0
Counties,-,440047,78574,17.9,68259,86.9,10315,13.1,0,0
Municipalities,-,719330,116881,16.2,111973,95.8,4908,4.2,0,0
,,,,,,,,,,
District of Columbia,600,12602795,950475,7.5,572789,60.3,115565,12.2,262121,27.6
"Local, total",-,12602795,950475,7.5,572789,60.3,115565,12.2,262121,27.6
Municipality,-,10533585,950475,9,572789,60.3,115565,12.2,262121,27.6
,,,,,,,,,,
Florida,18538,160035539,14243937,8.9,7278069,51.1,2330207,16.4,4635661,32.5
State,-,57975438,4319264,7.5,423619,9.8,1224842,28.4,2670803,61.8
"Local, total",-,102060101,9924673,9.7,6854450,69.1,1105365,11.1,1964858,19.8
Counties,-,31357354,6650611,21.2,3777600,56.8,976314,14.7,1896697,28.5
Municipalities,-,22410989,3274062,14.6,3076850,94,129051,3.9,68161,2.1
,,,,,,,,,,
Georgia,9829,76487887,5508740,7.2,2237889,40.6,987904,17.9,2282947,41.4
State,-,30635855,1898863,6.2,260531,13.7,244714,12.9,1393618,73.4
"Local, total",-,45852032,3609877,7.9,1977358,54.8,743190,20.6,889329,24.6
Counties,-,9678856,2494602,25.8,1072035,43,645250,25.9,777317,31.2
Municipalities,-,9231555,1115275,12.1,905323,81.2,97940,8.8,112012,10
,,,,,,,,,,
Hawaii,1295,14266510,934660,6.6,368857,39.5,335147,35.9,230656,24.7
State,-,11085461,540712,4.9,26432,4.9,283624,52.5,230656,42.7
"Local, total",-,3181049,393948,12.4,342425,86.9,51523,13.1,0,0
Counties,-,1107972,139402,12.6,112251,80.5,27151,19.5,0,0
Municipalities,-,2027776,254546,12.6,230174,90.4,24372,9.6,0,0
,,,,,,,,,,
Idaho,1546,11632365,868137,7.5,356158,41,186845,21.5,325134,37.5
State,-,6183450,379000,6.1,53042,14,76888,20.3,249070,65.7
"Local, total",-,5448915,489137,9,303116,62,109957,22.5,76064,15.6
Counties,-,1355386,318140,23.5,146432,46,95644,30.1,76064,23.9
Municipalities,-,1180305,170997,14.5,156684,91.6,14313,8.4,0,0
,,,,,,,,,,
Illinois,12910,124438084,7932484,6.4,4556479,57.4,1405163,17.7,1970842,24.8
State,-,53390001,2059518,3.9,395266,19.2,373108,18.1,1291144,62.7
"Local, total",-,71048083,5872966,8.3,4161213,70.9,1032055,17.6,679698,11.6
Counties,-,6749305,2163633,32.1,533914,24.7,950646,43.9,679073,31.4
Municipalities,-,21708286,3709333,17.1,3627299,97.8,81409,2.2,625,0
,,,,,,,,,,
Indiana,6423,50825105,2749799,5.4,1193249,43.4,505955,18.4,1050595,38.2
State,-,23606835,1100480,4.7,251836,22.9,174307,15.8,674337,61.3
"Local, total",-,27218270,1649319,6.1,941413,57.1,331648,20.1,376258,22.8
Counties,-,5888661,742906,12.6,231909,31.2,228346,30.7,282651,38
Municipalities,-,9458216,906413,9.6,709504,78.3,103302,11.4,93607,10.3
,,,,,,,,,,
Iowa,3008,28139254,1396858,5,623036,44.6,334799,24,439023,31.4
State,-,13643184,633640,4.6,92201,14.6,251238,39.6,290201,45.8
"Local, total",-,14496070,763218,5.3,530835,69.6,83561,10.9,148822,19.5
Counties,-,2787196,378342,13.6,160640,42.5,69422,18.3,148280,39.2
Municipalities,-,5069802,384876,7.6,370195,96.2,14139,3.7,542,0.1
,,,,,,,,,,
Kansas,2819,25806071,1492279,5.8,700397,46.9,286654,19.2,505228,33.9
State,-,11517282,561739,4.9,98178,17.5,155650,27.7,307911,54.8
"Local, total",-,14288789,930540,6.5,602219,64.7,131004,14.1,197317,21.2
Counties,-,2719393,451524,16.6,198969,44.1,77276,17.1,175279,38.8
Municipalities,-,4514242,479016,10.6,403250,84.2,53728,11.2,22038,4.6
,,,,,,,,,,
Kentucky,4314,36692320,1862722,5.1,693183,37.2,461501,24.8,708038,38
State,-,22083260,1057239,4.8,157006,14.9,412452,39,487781,46.1
"Local, total",-,14609060,805483,5.5,536177,66.6,49049,6.1,220257,27.3
Counties,-,2527433,331938,13.1,146426,44.1,39543,11.9,145969,44
