Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename:  jeeus1009.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 9.   Justice system expenditure of state governments by activity and character and object, fiscal 2010 (final)",,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 9.   Justice system expenditure of state governments by activity and character and object, fiscal 2010 (final)",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Inter-,,,,,Inter-,,,,,Inter-,,,,Capital outlay,,Inter-,
,,,,,govern-,,,,,govern-,,,,,govern-,,,,,,govern-,
,,,Direct,Capital,mental,,,Direct,Capital,mental,,,Direct,Capital,mental,,,Direct,,Construct.,mental,
State,Total,Total,current,outlay,expenditure,Total,Total,current,outlay,expenditure,Total,Total,current,outlay,expenditure,Total,Total,current,Total,only,expenditure,State
,,,,,,,,,,,,,,,,,,,,,,
Total,84872909,79467047,76709026,2758021,5405862,13828055,12376317,11643564,732753,1451738,22495303,20995541,20338491,657050,1499762,48549551,46095189,44726971,1368218,1037027,2454362,Total
,,,,,,,,,,,,,,,,,,,,,,
Alabama,1029774,960016,944439,15577,69758,188062,153692,147350,6342,34370,290168,287305,282390,4915,2863,551544,519019,514699,4320,1545,32525,Alabama
Alaska,617516,608654,591219,17435,8862,98362,89609,87961,1648,8753,248618,248509,240450,8059,109,270536,270536,262808,7728,6700,0,Alaska
Arizona,1536137,1433108,1336038,97070,103029,239436,228440,216385,12055,10996,235634,186913,185149,1764,48721,1061067,1017755,934504,83251,70828,43312,Arizona
Arkansas,557986,556586,527534,29052,1400,81323,81323,81316,7,0,106979,106124,106095,29,855,369684,369139,340123,29016,29016,545,Arkansas
California,13956609,13641223,13189596,451627,315386,1623171,1607484,1508817,98667,15687,4376977,4313902,4073794,240108,63075,7956461,7719837,7606985,112852,80899,236624,California
,,,,,,,,,,,,,,,,,,,,,,
Colorado,1461797,1291745,1220581,71164,170052,131730,126535,120820,5715,5195,344967,342354,319793,22561,2613,985100,822856,779968,42888,34593,162244,Colorado
Connecticut,1502199,1491421,1466937,24484,10778,208817,208817,195190,13627,0,611317,611231,607665,3566,86,682065,671373,664082,7291,5530,10692,Connecticut
Delaware,510446,499832,493713,6119,10614,105368,103201,100296,2905,2167,143128,134681,133615,1066,8447,261950,261950,259802,2148,819,0,Delaware
Florida,4601169,4148167,4064685,83482,453002,441041,440672,415904,24768,369,1655731,1203098,1189194,13904,452633,2504397,2504397,2459587,44810,34329,0,Florida
Georgia,1973463,1907609,1826943,80666,65854,303865,287613,274604,13009,16252,237138,223568,223402,166,13570,1432460,1396428,1328937,67491,46148,36032,Georgia
,,,,,,,,,,,,,,,,,,,,,,
Hawaii,462602,456975,425451,31524,5627,34211,32257,29823,2434,1954,221696,218023,193757,24266,3673,206695,206695,201871,4824,4585,0,Hawaii
Idaho,349133,338083,321576,16507,11050,52218,50060,47062,2998,2158,73291,73291,72948,343,0,223624,214732,201566,13166,11931,8892,Idaho
Illinois,2190752,2084732,2053402,31330,106020,439341,399185,382640,16545,40156,449961,386678,383434,3244,63283,1301450,1298869,1287328,11541,7112,2581,Illinois
Indiana,1085203,1000779,980675,20104,84424,244963,222766,211306,11460,22197,171022,148486,148006,480,22536,669218,629527,621363,8164,5638,39691,Indiana
Iowa,640297,613381,581131,32250,26916,88139,82849,79229,3620,5290,262302,242515,238745,3770,19787,289856,288017,263157,24860,22399,1839,Iowa
,,,,,,,,,,,,,,,,,,,,,,
Kansas,609604,552226,530825,21401,57378,108573,98981,87829,11152,9592,159033,158677,158536,141,356,341998,294568,284460,10108,8352,47430,Kansas
Kentucky,1168531,1095087,1072831,22256,73444,190640,164732,154036,10696,25908,466363,438678,429665,9013,27685,511528,491677,489130,2547,37,19851,Kentucky
Louisiana,1380802,1108564,1090752,17812,272238,356710,270767,264248,6519,85943,249582,233048,230399,2649,16534,774510,604749,596105,8644,5875,169761,Louisiana
Maine,313429,302774,300377,2397,10655,78290,75965,74640,1325,2325,89551,89551,88889,662,0,145588,137258,136848,410,0,8330,Maine
Maryland,2389159,2304427,2214363,90064,84732,465444,398855,391594,7261,66589,530879,526625,483546,43079,4254,1392836,1378947,1339223,39724,32392,13889,Maryland
,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,2738901,2497130,2378611,118519,241771,624631,531943,520444,11499,92688,910659,908744,818227,90517,1915,1203611,1056443,1039940,16503,9620,147168,Massachusetts
Michigan,2262467,2076781,2070950,5831,185686,305370,262986,260165,2821,42384,272572,165964,165716,248,106608,1684525,1647831,1645069,2762,1994,36694,Michigan
Minnesota,1275420,1102465,1068505,33960,172955,369120,278290,267390,10900,90830,397642,385250,379942,5308,12392,508658,438925,421173,17752,10691,69733,Minnesota
Mississippi,572611,529140,521671,7469,43471,101959,96684,91611,5073,5275,103919,95721,95244,477,8198,366733,336735,334816,1919,14,29998,Mississippi
Missouri,1181496,1130382,1080335,50047,51114,210649,210649,175789,34860,0,251256,243386,239662,3724,7870,719591,676347,664884,11463,6325,43244,Missouri
,,,,,,,,,,,,,,,,,,,,,,
Montana,327137,319172,310122,9050,7965,47282,41912,39006,2906,5370,94967,92372,91281,1091,2595,184888,184888,179835,5053,3141,0,Montana
Nebraska,391951,372383,367996,4387,19568,89027,69459,67496,1963,19568,65040,65040,64967,73,0,237884,237884,235533,2351,2018,0,Nebraska
Nevada,471421,455344,420047,35297,16077,93531,89212,87828,1384,4319,79068,72761,72024,737,6307,298822,293371,260195,33176,31622,5451,Nevada
New Hampshire,282082,278607,269573,9034,3475,59539,58681,53673,5008,858,107976,105505,104108,1397,2471,114567,114421,111792,2629,2396,146,New Hampshire
New Jersey,2976784,2841630,2813303,28327,135154,465469,441263,431494,9769,24206,947662,908915,900182,8733,38747,1563653,1491452,1481627,9825,6042,72201,New Jersey
,,,,,,,,,,,,,,,,,,,,,,
New Mexico,845734,827504,799944,27560,18230,149580,131350,117770,13580,18230,282429,282429,272666,9763,0,413725,413725,409508,4217,953,0,New Mexico
New York,7340210,6966053,6593343,372710,374157,1034695,873071,827136,45935,161624,3039147,2921362,2850168,71194,117785,3266368,3171620,2916039,255581,231416,94748,New York
North Carolina,2598161,2532442,2353703,178739,65719,520263,461795,411039,50756,58468,641604,636612,625839,10773,4992,1436294,1434035,1316825,117210,104886,2259,North Carolina
North Dakota,162236,159833,153602,6231,2403,27013,25777,24485,1292,1236,62566,61865,60230,1635,701,72657,72191,68887,3304,2900,466,North Dakota
Ohio,2273684,2033413,1966486,66927,240271,285131,271750,250434,21316,13381,382707,324855,321419,3436,57852,1605846,1436808,1394633,42175,38349,169038,Ohio
,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1043909,998177,962914,35263,45732,175579,173922,162200,11722,1657,280848,253015,236628,16387,27833,587482,571240,564086,7154,3096,16242,Oklahoma
Oregon,1216096,1099539,1065079,34460,116557,170477,169585,154208,15377,892,291250,291250,288906,2344,0,754369,638704,621965,16739,8228,115665,Oregon
Pennsylvania,3331857,3184113,3091759,92354,147744,878283,821689,804793,16896,56594,579349,541967,539002,2965,37382,1874225,1820457,1747964,72493,60396,53768,Pennsylvania
Rhode Island,352963,352507,325219,27288,456,77150,76694,52627,24067,456,100855,100855,98333,2522,0,174958,174958,174259,699,456,0,Rhode Island
South Carolina,739471,699249,677196,22053,40222,173906,156020,145786,10234,17886,105214,84259,83032,1227,20955,460351,458970,448378,10592,8788,1381,South Carolina
,,,,,,,,,,,,,,,,,,,,,,
South Dakota,189505,185878,179864,6014,3627,33527,31150,29068,2082,2377,45789,45611,44273,1338,178,110189,109117,106523,2594,1130,1072,South Dakota
Tennessee,1240652,1081065,1061723,19342,159587,209416,203459,194366,9093,5957,272394,261149,254276,6873,11245,758842,616457,613081,3376,23,142385,Tennessee
Texas,5297179,5050861,4830980,219881,246318,818673,812671,679527,133144,6002,786572,687636,680419,7217,98936,3691934,3550554,3471034,79520,8672,141380,Texas
Utah,637076,626195,606595,19600,10881,131464,127917,123859,4058,3547,203569,196235,183402,12833,7334,302043,302043,299334,2709,0,0,Utah
Vermont,259135,253710,247411,6299,5425,74486,70159,64748,5411,4327,59323,59323,58651,672,0,125326,124228,124012,216,4,1098,Vermont
,,,,,,,,,,,,,,,,,,,,,,
Virginia,2657559,1811844,1784967,26877,845715,645815,283970,273010,10960,361845,515513,397682,395185,2497,117831,1496231,1130192,1116772,13420,4232,366039,Virginia
Washington,1533253,1424167,1349715,74452,109086,315411,226958,216581,10377,88453,154012,133379,131892,1487,20633,1063830,1063830,1001242,62588,46403,0,Washington
West Virginia,484808,484367,464108,20259,441,72880,72880,65997,6883,0,141211,141134,138234,2900,77,270717,270353,259877,10476,8014,364,West Virginia
Wisconsin,1587093,1438000,1404395,33605,149093,135435,128028,127739,289,7407,320517,287371,285856,1515,33146,1131141,1022601,990800,31801,25882,108540,Wisconsin
Wyoming,265450,259707,255842,3865,5743,52590,52590,52245,345,0,75336,70637,69255,1382,4699,137524,136480,134342,2138,608,1044,Wyoming
