Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0209.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  9 Justice system expenditure of State governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,,,,,


"Table 9.   Justice system expenditure of State governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
State,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construction only,Intergovernmental expenditure,State
Total,"$64,891,049","$60,295,061","$57,310,310","$2,984,751","$4,595,988","$10,696,671","$9,407,598","$8,828,102","$579,496","$1,289,073","$15,306,636","$14,415,793","$13,942,289","$473,504","$890,843","$38,887,742","$36,471,670","$34,539,919","$1,931,751","$1,544,212","$2,416,072",Total

Alabama,"$673,843","$639,224","$625,697","$13,527","$34,619","$128,801","$100,402","$92,292","$8,110","$28,399","$213,566","$213,566","$212,549","$1,017",$0,"$331,476","$325,256","$320,856","$4,400","$1,392","$6,220",Alabama
Alaska,"$372,455","$357,837","$349,475","$8,362","$14,618","$77,758","$63,170","$60,590","$2,580","$14,588","$120,853","$120,823","$117,163","$3,660",$30,"$173,844","$173,844","$171,722","$2,122",$663,$0,Alaska
Arizona,"$1,094,302","$958,417","$928,707","$29,710","$135,885","$166,234","$151,152","$135,120","$16,032","$15,082","$194,613","$164,929","$159,659","$5,270","$29,684","$733,455","$642,336","$633,928","$8,408",$891,"$91,119",Arizona
Arkansas,"$492,240","$488,753","$476,486","$12,267","$3,487","$71,768","$71,768","$69,919","$1,849",$0,"$135,872","$132,729","$132,078",$651,"$3,143","$284,600","$284,256","$274,489","$9,767","$6,324",$344,Arkansas
California,"$9,818,272","$9,248,190","$8,975,022","$273,168","$570,082","$1,376,082","$1,132,235","$1,089,969","$42,266","$243,847","$2,845,763","$2,782,272","$2,756,968","$25,304","$63,491","$5,596,427","$5,333,683","$5,128,085","$205,598","$156,116","$262,744",California
Colorado,"$1,041,892","$945,955","$889,391","$56,564","$95,937","$100,125","$99,690","$88,068","$11,622",$435,"$207,310","$207,272","$200,273","$6,999",$38,"$734,457","$638,993","$601,050","$37,943","$28,196","$95,464",Colorado
Connecticut,"$1,249,333","$1,249,227","$1,169,190","$80,037",$106,"$164,226","$164,120","$154,974","$9,146",$106,"$447,210","$447,210","$411,399","$35,811",$0,"$637,897","$637,897","$602,817","$35,080","$31,788",$0,Connecticut
Delaware,"$419,141","$411,750","$404,459","$7,291","$7,391","$70,807","$68,413","$65,292","$3,121","$2,394","$103,131","$98,134","$97,078","$1,056","$4,997","$245,203","$245,203","$242,089","$3,114","$1,890",$0,Delaware
Florida,"$3,422,836","$3,412,064","$3,294,535","$117,529","$10,772","$425,266","$424,501","$399,434","$25,067",$765,"$797,940","$787,933","$775,076","$12,857","$10,007","$2,199,630","$2,199,630","$2,120,025","$79,605","$73,289",$0,Florida
Georgia,"$1,723,970","$1,652,673","$1,578,040","$74,633","$71,297","$272,130","$255,475","$225,729","$29,746","$16,655","$180,201","$164,016","$160,102","$3,914","$16,185","$1,271,639","$1,233,182","$1,192,209","$40,973","$23,546","$38,457",Georgia
Hawaii,"$344,619","$337,978","$315,605","$22,373","$6,641","$9,228","$6,244","$5,488",$756,"$2,984","$178,105","$174,448","$155,858","$18,590","$3,657","$157,286","$157,286","$154,259","$3,027","$1,904",$0,Hawaii
Idaho,"$276,370","$272,850","$257,763","$15,087","$3,520","$45,973","$44,108","$39,073","$5,035","$1,865","$58,713","$58,713","$57,398","$1,315",$0,"$171,684","$170,029","$161,292","$8,737","$7,328","$1,655",Idaho
Illinois,"$2,088,536","$1,962,152","$1,831,075","$131,077","$126,384","$392,153","$359,209","$348,607","$10,602","$32,944","$337,065","$302,938","$295,431","$7,507","$34,127","$1,359,318","$1,300,005","$1,187,037","$112,968","$93,893","$59,313",Illinois
Indiana,"$944,655","$912,424","$865,955","$46,469","$32,231","$200,006","$193,527","$182,404","$11,123","$6,479","$103,938","$103,938","$102,649","$1,289",$0,"$640,711","$614,959","$580,902","$34,057","$26,504","$25,752",Indiana
Iowa,"$608,710","$542,324","$533,338","$8,986","$66,386","$86,461","$85,720","$84,249","$1,471",$741,"$233,583","$223,592","$216,395","$7,197","$9,991","$288,666","$233,012","$232,694",$318,$13,"$55,654",Iowa
