"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0009.csv",,,,,,,,,,,,,,,,,,,,,,
"table #:  9 Justice system expenditure of State governments by activity and character and object, fiscal 2000",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 202792",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table #9. Justice system expenditure of State governments by activity and character and object, fiscal 2000",,,,,,,,,,,,,,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"Total justice system",,,,,"Police protection",,,,,"Judicial and Legal",,,,,"Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure",,,,,"Direct expenditure",,,,,"Direct expenditure",,,,,"Direct expenditure",,,,,
"State","Total","Total","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total","Direct current","Capital outlay","Intergovernmental Expenditure","Total","Total","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total","Direct current","Total","Construction only","Intergovernmental expenditures","State"
,,,,,,,,,,,,,,,,,,,,,,
"Total",$58166467.00,$53991300.00,$50511278.00,$3480022.00,$4175167.00,$9787596.00,$8580703.00,$7934293.00,$646410.00,$1206893.00,$13249668.00,$12370672.00,$12044020.00,$326652.00,$878996.00,$35129203.00,$33039925.00,$30532965.00,$2506960.00,$2014290.00,$2089278.00,"Total"
,,,,,,,,,,,,,,,,,,,,,,
"Alabama",$568697.00,$537086.00,$528819.00,$8267.00,$31611.00,$117831.00,$92171.00,$86908.00,$5263.00,$25660.00,$172010.00,$172010.00,$171217.00,$793.00,$0.00,$278856.00,$272905.00,$270694.00,$2211.00,$880.00,$5951.00,"Alabama"
"Alaska",$355032.00,$341390.00,$330932.00,$10458.00,$13642.00,$63311.00,$49669.00,$47380.00,$2289.00,$13642.00,$118097.00,$118097.00,$112409.00,$5688.00,$0.00,$173624.00,$173624.00,$171143.00,$2481.00,$1273.00,$0.00,"Alaska"
"Arizona",$1059785.00,$949183.00,$894196.00,$54987.00,$110602.00,$158048.00,$144730.00,$130244.00,$14486.00,$13318.00,$182047.00,$144230.00,$138966.00,$5264.00,$37817.00,$719690.00,$660223.00,$624986.00,$35237.00,$12714.00,$59467.00,"Arizona"
"Arkansas",$452316.00,$439922.00,$408189.00,$31733.00,$12394.00,$73341.00,$73131.00,$62660.00,$10471.00,$210.00,$103817.00,$100394.00,$97107.00,$3287.00,$3423.00,$275158.00,$266397.00,$248422.00,$17975.00,$12889.00,$8761.00,"Arkansas"
