"Bureau of Justice Statistics",,,,,,,,,,
"filename:  cjee0001.csv",,,,,,,,,,
"Table 1. Total, direct, and intergovernmental justice expenditure and percent change, by level of government, fiscal year 2000",,,,,,,,,,
"report title:  Justice Expenditure and Employment in the United States, 2001 NCJ 202792",,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,
,,,,,,,,,,
"Table 1. Total, direct, and intergovernmental justice expenditure and percent change, by level of government, fiscal year 2000",,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,
,,,,,"Percent distribution",,,,,
"Activity","All governments/a","Federal government","State government","Local government","Federal government",,"State government",,"Local government",
,,,,,,,,,,
,,,,,,,,,,
"Total justice system",$155721690.00,$27820000.00,$58166467.00,$78995330.00,"-",,"-",,"-",
"Direct expenditure",$155721690.00,$23086000.00,$53991300.00,$78644390.00,14.8,"%",34.7,"%",50.5,"%"
"Intergovernmental expenditure","-",$4734000.00,$4175167.00,$350940.00,"-",,"-",,"-",
,,,,,,,,,,
"Police protection",$68911071.00,$14002473.00,$9787596.00,$48219165.00,"-",,"-",,"-",
"Direct expenditure",$68911071.00,$12113000.00,$8580703.00,$48217368.00,17.6,,12.5,,70.0,
"Intergovernmental expenditure","-",$2483884.00,$1206893.00,$1797.00,"-",,"-",,"-",
,,,,,,,,,,
"Judicial and legal",$34298180.00,$8496556.00,$13249668.00,$14842083.00,"-",,"-",,"-",
"Direct expenditure",$34298180.00,$7266000.00,$12370672.00,$14661508.00,21.2,,36.1,,42.7,
"Intergovernmental expenditure","-",$1489961.00,$878996.00,$180575.00,"-",,"-",,"-",
,,,,,,,,,,
"Corrections",$52512439.00,$4230971.00,$35129203.00,$15934082.00,"-",,"-",,"-",
"Direct expenditure",$52512439.00,$3707000.00,$33039925.00,$15765514.00,7.1,,62.9,,30.0,
"Intergovernmental expenditure","-",$760155.00,$2089278.00,$168568.00,"-",,"-",,"-",
,,,,,,,,,,
,,,,,,,,,,
"Notes:  Local government data are estimates subject to sampling variability. Federal Government data are for the fiscal period beginning October 1, 1999 and ending September 30,000. a/ The total lines for each criminal justice activity and",,,,,,,,,,
