Aggravated assault,All other offenses (except traffic),Area,Arson,Burglary,Crime Index Total,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),State,"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",Year
"16,922",,State Total,,"99,164","469,104",,,,,,,"4,809",,,,"287,045",,"42,767",526,,,"11,421,267","428,976",,"17,871",,,OHIO,,,"469,104",,,"40,128",,2002
"12,885",,State Total,,"35,171","165,715",,,,,,,"1,573",,,,"100,185",,"12,772",163,,,"3,493,714","148,128",,"2,966",,,OKLAHOMA,,,"165,715",,,"17,587",,2002
"6,246",,State Total,,"25,696","171,443",,,,,,,"1,238",,,,"118,925",,"16,524",72,,,"3,521,515","161,145",,"2,742",,,OREGON,,,"171,443",,,"10,298",,2002
"28,060",,State Total,,"55,610","350,446",,,,,,,"3,731",,,,"212,441",,"32,817",624,,,"12,335,091","300,868",,"17,163",,,PENNSYLVANIA,,,"350,446",,,"49,578",,2002
"3,478",,State Total,,"24,737","90,783",,,,,,,241,,,,"39,640",,"12,935",774,,,"3,858,806","77,312",,"8,978",,,PUERTO RICO,,,"90,783",,,"13,471",,2002
"1,699",,State Total,,"6,415","38,393",,,,,,,395,,,,"24,051",,"4,876",41,,,"1,069,725","35,342",,916,,,RHODE ISLAND,,,"38,393",,,"3,051",,2002
"25,730",,State Total,,"43,745","217,569",,,,,,,"1,959",,,,"123,196",,"16,867",298,,,"4,107,183","183,808",,"5,774",,,SOUTH CAROLINA,,,"217,569",,,"33,761",,2002
861,,State Total,,"3,034","17,342",,,,,,,361,,,,"12,139",,819,11,,,"761,063","15,992",,117,,,SOUTH DAKOTA,,,"17,342",,,"1,350",,2002
"29,439",,State Total,,"61,248","290,961",,,,,,,"2,290",,,,"161,610",,"26,541",420,,,"5,797,289","249,399",,"9,413",,,TENNESSEE,,,"290,961",,,"41,562",,2002
"78,628",,State Total,,"212,602","1,130,292",,,,,,,"8,508",,,,"688,992",,"102,680","1,302",,,"21,779,893","1,004,274",,"37,580",,,TEXAS,,,"1,130,292",,,"126,018",,2002
"3,358",,State Total,,"15,124","103,129",,,,,,,943,,,,"74,795",,"7,722",47,,,"2,316,256","97,641",,"1,140",,,UTAH,,,"103,129",,,"5,488",,2002
442,,State Total,,"3,489","15,600",,,,,,,126,,,,"10,684",,769,13,,,"616,592","14,942",,77,,,VERMONT,,,"15,600",,,658,,2002
"12,068",,State Total,,"31,757","229,039",,,,,,,"1,839",,,,"157,548",,"18,478",388,,,"7,293,542","207,783",,"6,961",,,VIRGINIA,,,"229,039",,,"21,256",,2002
"12,249",,State Total,,"54,948","309,931",,,,,,,"2,734",,,,"193,526",,"40,493",184,,,"6,068,996","288,967",,"5,797",,,WASHINGTON,,,"309,931",,,"20,964",,2002
"3,179",,State Total,,"9,677","45,320",,,,,,,328,,,,"27,524",,"3,898",57,,,"1,801,873","41,099",,657,,,WEST VIRGINIA,,,"45,320",,,"4,221",,2002
"6,134",,State Total,,"27,926","176,987",,,,,,,"1,237",,,,"123,365",,"13,458",154,,,"5,441,196","164,749",,"4,713",,,WISCONSIN,,,"176,987",,,"12,238",,2002
"1,108",,State Total,,"2,448","17,858",,,,,,,148,,,,"13,303",,743,15,,,"498,703","16,494",,93,,,WYOMING,,,"17,858",,,"1,364",,2002
"4,232","79,847",,114,"3,059",,52,"4,129","14,340","16,133","9,845",17,386,"2,394","10,974",110,"15,621","6,909","1,306",311,"1,506","28,388","4,079,102","20,100",135,"1,563",443,433,ALABAMA,"2,380",1,"208,757",199,"2,596","6,492","1,334",2003
"1,183","13,764",,40,587,,2,912,"4,891","2,045",26,2,103,137,147,0,"3,429","1,602",406,22,343,"4,071","631,457","4,462",55,110,253,239,ALASKA,26,2,"35,754",9,966,"1,418",382,2003
"6,663","83,328",,230,"5,198",,"3,489","16,830","39,046","32,796",0,264,223,"2,825","2,221",1,"29,615","24,972","5,262",210,"3,321","22,999","5,365,487","40,305","2,160","1,561","5,371","1,785",ARIZONA,"1,614",0,"305,252",718,"9,427","8,657","3,123",2003
"2,677","50,744",,80,"2,078",,498,"2,563","9,248","9,301","8,219",3,105,"1,511","11,730",50,"8,316","1,756",323,29,567,"5,212","1,790,768","10,797",360,479,418,326,ARKANSAS,931,136,"120,392",661,907,"3,290","1,164",2003
"106,425","308,795",,"1,766","50,355",,"16,720","17,255","184,679","273,226","97,808","1,917","2,434","12,030","10,566",564,"94,486","27,092","30,198","1,835",594,"86,137","34,990,394","176,805","13,776","17,353","5,950","15,544",CALIFORNIA,"18,813",0,"1,457,151","5,908","27,806","128,047","27,119",2003
"4,021","63,962",,285,"2,483",,"2,695","11,958","19,715","15,054",231,107,411,"1,282","1,450",3,"19,235","14,304","2,372",94,"2,329","17,990","3,238,375","24,375","1,010",788,"3,965","1,111",COLORADO,693,5,"195,911",875,"5,550","5,314","1,933",2003
"2,480","23,433",,103,"1,732",,107,"12,522","5,527","9,744",23,156,164,528,"1,055",16,"10,017","1,015",650,57,998,"11,673","2,269,425","12,502",244,991,135,409,CONNECTICUT,369,7,"87,176",32,"2,094","3,692",895,2003
"1,861","6,512",,58,890,,98,"2,076",223,"4,211",354,191,117,505,"1,934",2,"3,735","1,791",177,15,233,"7,114","813,337","4,860",157,477,0,76,DELAWARE,327,0,"34,912",471,935,"2,470",372,2003
46,"2,700",,0,0,,4,213,29,108,56,0,1,1,0,0,37,"1,714",40,1,0,133,,77,0,20,0,1,DISTRICT OF COLUMBIA,17,0,"5,421",254,21,68,25,2003
"40,704","417,657",,567,"26,503",,,,"56,976","136,804",,"1,007","2,251","5,381","14,123",699,"90,952","34,223","12,331",701,,"94,188","17,012,655","130,353","7,529","9,096",,"4,137",FLORIDA,"3,978",,"974,805",,"8,238","52,752","6,760",2003
"8,599","67,899",,341,"5,163",,486,"20,936","24,806","32,940","4,348",179,425,"4,507","11,154",327,"24,347","8,850","2,269",417,"4,080","22,076","4,729,207","32,120","1,628","2,396","1,931","3,727",GEORGIA,"3,889",607,"265,932","1,589","2,026","11,837","3,990",2003
745,"27,952",,16,784,,613,649,"4,049","3,286",12,43,127,378,413,183,"4,759","1,171","1,151",26,898,"4,711","1,257,608","6,710",350,457,"4,293",382,HAWAII,183,0,"58,719",0,776,"1,355",312,2003
"1,052","28,442",,117,"1,025",,778,"2,281","9,355","5,258",201,68,110,401,734,0,"6,004","5,048",426,24,518,"6,803","1,285,541","7,572",3,106,"2,057",360,IDAHO,330,0,"73,523",9,"1,438","1,292",575,2003
"5,586","25,195",,140,"3,325",,0,"20,126","5,967","55,793",0,0,603,258,"1,962","2,662","17,244","1,018","8,402",472,397,"29,059","12,898,374","29,111","5,522","2,909",0,"2,118",ILLINOIS,0,0,"197,983",0,"4,401","9,570","4,824",2003
"8,757","56,614",,180,"3,293",,"1,349","8,158","28,501","20,323","16,055",19,209,"1,187","1,871",177,"17,358","12,502","1,826",204,"1,924","11,373","6,568,601","22,657","1,190","1,440","3,420","1,317",INDIANA,"4,512",226,"208,042",175,"2,401","10,610","1,481",2003
"3,483","29,399",,127,"2,191",,742,"5,073","12,645","10,244","7,927",172,126,869,"1,658",9,"12,048","12,908",685,31,606,"10,118","2,662,631","15,051",246,353,481,269,IOWA,220,0,"116,510",27,"3,274","3,993",579,2003
965,"13,893",,71,844,,0,"1,946","10,723","5,315",243,38,86,277,"1,306",0,"3,380","4,910",263,21,165,"6,692","1,306,978","4,558",19,75,990,176,KANSAS,301,0,"54,354",0,"1,427","1,147",228,2003
"1,574","14,089",,39,"1,235",,132,"2,601","5,379","8,896","5,607",70,86,"1,101","3,226",13,"6,341","1,129",355,35,"1,125","3,680","1,063,935","7,970",85,462,165,261,KENTUCKY,"1,031",0,"60,090",3,868,"2,157",502,2003
"7,829","73,827",,169,"5,565",,"1,585","15,204","11,152","23,602","4,190",28,444,"1,466","2,793",131,"21,859","5,019","1,210",265,"1,945","27,821","3,281,940","28,803",546,"1,400","1,886","1,283",LOUISIANA,"2,367",100,"219,924",314,"4,383","9,938","1,541",2003
588,"17,913",,76,"1,257",,106,"1,570","7,294","5,048",79,34,94,333,"1,060",26,"5,628","3,431",371,5,344,"7,261","1,300,474","7,332",12,127,194,250,MAINE,306,0,"55,320",0,"1,659",814,254,2003
"7,960","122,187",,649,"7,340",,561,"6,469","23,558","54,531",4,400,431,"1,177","3,455",402,"24,907","6,234","5,308",324,"2,669","38,816","5,508,909","38,204","2,371","3,500",778,"1,295",MARYLAND,245,64,"324,414",170,"4,596","12,215","4,013",2003
"5,812","25,626",,105,"2,065",,29,"5,286","8,582","9,397","6,250",52,291,528,"1,045",13,"8,819","3,192",680,34,"1,839","12,712","4,488,437","11,669",630,793,386,420,MASSACHUSETTS,959,149,"98,390",11,"2,090","6,930",595,2003
"12,958","116,823",,438,"6,059",,"1,234","9,867","48,382","33,020",716,"1,282","1,006","1,240","6,199",111,"25,734","27,098","2,094",468,"4,650","32,345","9,724,692","34,325","1,336","2,337","1,817","1,376",MICHIGAN,"5,619",33,"353,346",292,"4,228","16,769","4,584",2003
"2,333","30,201",,224,"2,706",,0,"9,603","24,851","13,040",0,2,567,"1,586","3,812",22,"18,216","22,930","1,216",71,443,"13,053","4,217,436","22,362",84,406,"2,083",946,MINNESOTA,"1,434",0,"155,088",62,"4,069","3,377","1,128",2003
"1,175","29,795",,254,"1,912",,483,"7,162","11,120","10,697","6,025",546,186,"1,117","1,680",423,"7,878","2,596",478,131,"3,195","10,239","2,380,220","10,522",102,532,279,282,MISSISSIPPI,723,63,"100,844",87,999,"2,024",685,2003
"11,565","83,522",,468,"6,244",,"2,185","14,737","36,826","42,131","2,166",121,596,"3,397","4,449",323,"32,267","10,451","4,367",305,"5,701","35,498","5,527,314","43,346","1,394","2,157","3,498","3,226",MISSOURI,"2,636",0,"324,705",642,"9,606","14,623","4,227",2003
653,"4,797",,25,247,,301,"1,567","2,239",664,0,6,26,64,145,1,"2,683","1,801",212,10,328,"1,926","546,626","3,167",2,80,244,62,MONTANA,20,0,"18,855",12,681,769,59,2003
816,"18,819",,108,918,,250,"4,013","12,911","9,614",0,119,140,752,"1,878",22,"7,382","12,106",415,55,"1,376","8,543","1,489,255","8,823",490,275,247,583,NEBRASKA,"1,026",1,"86,544",1,"2,686","1,286",998,2003
223,"11,134",,19,269,,15,"1,120","5,063","2,114","3,608",9,41,151,651,8,"1,502","4,603",102,5,154,"3,960","887,385","1,892",14,91,315,131,NEW HAMPSHIRE,250,0,"36,477",57,794,360,74,2003
"9,587","124,380",,421,"6,208",,"5,205","21,169","23,992","51,630",9,112,519,"1,781","5,590",280,"24,421","7,953","1,292",293,"15,093","28,950","8,018,213","32,342","2,106","3,945","4,676","1,844",NEW JERSEY,"6,139",0,"363,297","2,816","7,263","14,344","5,623",2003
"1,822","26,908",,24,820,,50,"2,358","8,832","5,084","1,319",118,85,270,375,0,"4,399","3,304",276,69,713,"4,612","2,031,982","5,519",251,273,494,96,NEW MEXICO,672,31,"64,435",4,579,"2,249",597,2003
"8,733","76,892",,404,"7,199",,0,"13,730","26,843","44,095",0,216,709,"4,357","11,272",123,"32,390","5,970","2,574",226,"2,882","26,343","18,561,046","42,567","1,605","3,150",0,"4,336",NEW YORK,"5,987",0,"297,442","1,536","12,430","12,818","3,440",2003
"13,940","114,143",,351,"13,671",,2,"14,850","54,264","39,583",0,"1,893",726,"3,806","32,764",360,"38,247","13,480","2,231",591,"7,069","49,865","8,614,261","54,500","1,243","4,154",856,"1,631",NORTH CAROLINA,"6,637",0,"432,569","1,491","8,153","19,411","6,568",2003
117,"5,271",,18,238,,339,"1,570","3,806","1,623",451,7,35,191,"1,027",0,"1,835","5,678",201,3,200,"1,391","535,956","2,292",0,21,631,84,NORTH DAKOTA,127,0,"25,585",3,629,176,89,2003
"3,034","69,881",,357,"4,658",,"2,895","14,624","20,377","22,877","5,728",11,451,"1,749","2,447",53,"21,737","12,669","1,235",114,"12,636","21,951","11,657,483","27,987","1,331","1,678","1,626","1,223",OHIO,"3,957",96,"236,081",117,"4,097","5,277","2,472",2003
"4,845","37,779",,298,"3,227",,"3,102","3,021","20,942","23,013","24,795",597,365,"1,121","3,317",11,"13,307","3,029","1,277",159,"1,111","10,215","3,511,532","18,109",346,678,"3,181",786,OKLAHOMA,"2,091",0,"166,495",0,"1,567","6,047","2,315",2003
"1,979","18,222",,325,"2,890",,"2,083","6,271","13,508","13,766",0,65,261,"1,754","1,200",3,"15,898","13,063","2,171",95,505,"10,758","3,252,321","21,284",116,783,"2,294","1,224",OREGON,440,0,"115,141",0,"4,031","3,118","1,436",2003
"13,948","47,212",,672,"9,587",,"26,065","53,634","39,384","47,438","19,812",281,"1,244","3,404","11,994",231,"34,704","25,939","5,776",504,972,"43,206","12,443,061","50,739","2,685","6,207","2,642","3,069",PENNSYLVANIA,"3,247",0,"421,100",446,"12,660","21,903","4,137",2003
913,"15,734",,76,769,,41,"3,305","2,023","4,621",69,163,134,203,"1,210",23,"3,397","1,038",276,14,217,"6,018","1,076,164","4,518",275,307,210,129,RHODE ISLAND,472,45,"43,914",8,"1,660","1,368",564,2003
234,"3,324",,6,159,,4,"1,524","3,929",981,"1,159",24,18,158,"1,900",13,458,"2,195",34,8,86,741,"4,535,689",657,13,34,19,43,SOUTH CAROLINA,137,0,"17,583",25,183,294,174,2003
415,"8,479",,23,430,,283,"1,640","5,357","2,788",440,38,59,138,"1,056",3,"2,482","6,951",103,8,340,"2,653","758,233","3,038",0,28,558,183,SOUTH DAKOTA,141,0,"35,298",12,533,510,157,2003
"9,700","67,974",,238,"4,793",,"1,651","10,095","24,688","29,368","18,317",461,294,"2,806","10,125",247,"22,601","6,705","2,412",302,"1,150","26,117","5,892,622","30,044","1,739","1,617","2,805",659,TENNESSEE,799,0,"253,709",33,"3,312","11,913","2,701",2003
"21,062","279,937",,790,"17,862",,"10,564","35,628","87,023","106,273","119,851",647,"2,189","8,267","16,120",411,"89,257","25,194","8,192",811,"4,696","92,840","20,875,272","116,101","4,794","6,371","15,339","4,425",TEXAS,827,0,"982,963",507,"11,742","30,433","11,344",2003
"1,121","28,908",,148,"1,350",,"1,316","5,564","5,944","7,582","4,797",17,158,968,904,0,"12,362","10,214",617,48,"1,196","8,109","1,690,633","14,477",241,313,816,726,UTAH,802,0,"98,509",13,"2,978","1,640","1,297",2003
196,"2,324",,23,209,,1,619,"2,619","1,235",1,24,48,106,330,0,628,703,61,7,297,"1,079","678,344",921,4,1,0,28,VERMONT,117,0,"10,951",0,282,252,9,2003
"3,263","69,115",,264,"3,018",,"1,765","4,488","18,819","20,137","17,524","1,096",305,"2,008","7,184",28,"16,355","6,044","1,181",190,766,"26,915","6,526,389","20,818",392,"1,108","3,425",790,VIRGINIA,737,0,"213,059",75,"3,315","4,866","2,752",2003
"4,623","51,701",,377,"5,079",,17,"4,619","36,802","22,544",14,124,795,"2,269","1,335",3,"24,934","12,701","1,892",96,339,"28,578","5,540,101","32,282",571,"1,259","2,273","1,198",WASHINGTON,"3,913",18,"216,720",107,"6,025","6,773","2,514",2003
680,"4,704",,26,387,,12,209,"3,670","2,060",654,38,20,211,455,1,"1,512","1,065",170,20,62,"2,955","813,665","2,095",10,58,38,87,WEST VIRGINIA,128,0,"19,879",0,469,778,178,2003
"3,358","79,458",,232,"3,764",,"4,785","47,538","29,060","18,676",195,227,491,"1,786","8,402",32,"24,676","36,039","1,818",85,"1,906","12,013","5,165,478","30,490",120,686,"3,758","2,782",WISCONSIN,"1,294",148,"294,493",270,"8,350","4,620","2,544",2003
470,"11,686",,32,314,,358,"1,128","4,169","2,579","1,388",4,28,115,192,3,"2,042","4,223",115,11,249,"2,564","475,963","2,503",2,34,191,112,WYOMING,109,80,"32,907",11,581,543,117,2003
"3,926","78,939",,121,"3,498",,59,"4,834","13,582","18,315","9,474",20,457,"2,490","10,432",54,"15,773","6,529","1,173",280,"1,143","28,536","4,000,192","20,565",173,"1,405",419,396,ALABAMA,"2,200",2,"208,312",317,"2,550","6,068","1,215",2004
"1,238","15,471",,15,543,,1,938,"5,104","1,786",56,5,82,139,199,23,"3,020","1,467",395,31,433,"3,902","637,349","3,973",102,134,280,208,ALASKA,33,0,"36,864",16,882,"1,485",361,2004
"7,110","89,018",,263,"5,179",,"3,249","17,181","37,813","35,722",0,248,222,"3,123","2,294",15,"31,272","23,749","5,180",252,"3,210","23,308","5,593,717","41,894","2,115","1,433","5,480","1,880",ARIZONA,"1,463",0,"315,007",990,"9,907","9,017","3,331",2004
"2,382","42,782",,39,"1,653",,"1,114","2,221","6,908","7,313","5,561",4,112,"1,341","4,126",16,"7,863","3,464",390,33,255,"5,494","1,469,843","9,945",330,449,449,209,ARKANSAS,768,142,"98,086",727,963,"2,976",978,2004
"97,105","308,364",,"1,619","48,917",,"15,708","16,739","177,405","272,980","91,064","1,691","2,099","11,532","10,129",478,"89,261","25,558","29,346","1,894",474,"79,845","33,560,992","169,143","14,134","16,762","4,914","14,493",CALIFORNIA,"20,230",0,"1,414,732","7,063","26,515","117,860","28,413",2004
"4,770","82,248",,215,"2,833",,"2,792","13,134","21,253","17,434",170,109,434,"1,893","1,786",21,"23,998","15,081","2,688",145,"2,876","18,667","3,941,932","29,734",864,794,"3,983","1,272",COLORADO,"1,037",2,"229,977",962,"6,181","6,143","2,335",2004
"3,355","27,819",,341,"2,415",,113,"15,688","8,999","14,904",2,139,239,774,"1,328",28,"11,764","1,296",833,88,"1,224","18,474","2,917,685","15,353",455,"1,282",179,615,CONNECTICUT,636,0,"116,805",37,"2,508","4,964","1,270",2004
"1,478","5,172",,54,909,,60,"2,320",170,"3,243",411,183,101,499,"1,591",1,"3,709","2,129",123,10,214,"6,337","752,330","4,795",118,305,0,54,DELAWARE,321,0,"31,048",314,889,"1,894",333,2004
51,"3,036",,0,0,,0,175,35,74,45,2,2,7,1,0,37,"1,682",48,0,0,128,,85,0,35,0,0,DISTRICT OF COLUMBIA,18,0,"5,779",354,16,88,33,2004
"38,888","461,149",,565,"25,970",,,,"55,804","150,334",,"1,115","2,157","5,222","14,759",867,"88,265","35,692","11,798",693,0,"95,446","17,390,278","126,598","6,583","9,100",,"4,015",FLORIDA,"3,929",,"1,028,856",,"8,728","50,838","7,777",2004
"7,183","54,843",,305,"3,402",,341,"17,997","15,115","27,629","3,733",124,286,"3,311","4,430",308,"19,068","10,449","1,668",248,"1,677","15,878","3,146,498","24,443","1,651","1,676",971,"3,231",GEORGIA,"2,995",74,"205,472","1,629","1,552","9,393","3,698",2004
771,"23,640",,36,530,,525,814,"4,102","2,529",11,78,73,354,323,136,"3,850","1,039",783,40,108,"4,701","1,103,758","5,199",255,292,"3,079",276,HAWAII,153,0,"49,456",14,738,"1,176",206,2004
"1,078","29,239",,118,867,,669,"2,229","9,119","5,393",172,89,106,348,585,7,"5,221","4,986",318,24,392,"6,353","1,264,174","6,524",4,89,"2,153",335,IDAHO,294,0,"72,204",18,"1,372","1,297",626,2004
"5,617","27,539",,138,"2,988",,0,"18,626","5,994","59,054",0,0,561,222,"1,702","2,828","16,080",970,"7,409",433,336,"29,516","12,882,746","26,615","6,060","2,914",0,"2,144",ILLINOIS,0,0,"200,447",0,"4,499","9,525","4,817",2004
"8,901","60,660",,200,"3,477",,457,"9,035","27,264","22,648","15,003",26,219,"1,300","1,844",92,"18,316","13,083","1,810",232,"1,650","11,822","6,576,846","23,803","1,504","1,496","3,576","1,479",INDIANA,"5,141",298,"215,441",23,"2,438","10,848","1,447",2004
"3,274","29,409",,151,"1,857",,806,"5,248","13,950","9,355","7,602",122,123,959,"1,316",11,"9,771","12,040",570,40,702,"8,595","2,512,908","12,349",170,298,485,266,IOWA,210,0,"110,513",32,"2,704","3,735",447,2004
"1,624","18,889",,87,"1,260",,0,"3,306","13,478","8,490",255,158,149,669,"1,779",7,"6,790","6,218",495,35,239,"10,917","1,938,930","8,632",143,247,"2,012",306,KANSAS,289,0,"80,262",0,"1,728","2,055",692,2004
"1,068","16,348",,37,"1,598",,98,"2,683","5,607","10,894","7,702",53,143,"1,497","3,221",10,"6,893","1,251",382,55,"1,083","4,895","1,020,932","8,910",334,525,58,221,KENTUCKY,"1,150",0,"69,483",191,912,"1,791",574,2004
"7,645","82,183",,209,"5,438",,"1,137","17,451","11,193","25,884","3,984",80,453,"1,507","2,453",91,"21,845","5,364","1,185",303,"2,021","27,726","3,144,321","28,677",538,"1,202","2,018","1,245",LOUISIANA,"2,171","1,101","232,704",547,"4,075","9,603","1,655",2004
584,"17,505",,46,"1,309",,69,"1,806","7,213","5,526",38,26,104,343,"1,059",0,"5,649","3,572",362,8,334,"6,889","1,316,272","7,366",30,168,157,298,MAINE,294,0,"55,345",0,"1,641",864,315,2004
"7,954","114,278",,726,"7,245",,409,"6,890","23,592","51,938",252,353,466,"1,334","3,277",354,"25,447","5,870","4,904",295,"2,436","34,232","5,554,320","38,322","2,637","3,424",798,"1,339",MARYLAND,329,53,"309,630",138,"4,525","12,139","4,135",2004
"5,858","26,226",,105,"2,224",,13,"4,488","9,378","11,617","5,681",60,214,541,"1,028",12,"8,588","3,111",750,54,"1,452","13,283","4,593,211","11,667",809,883,415,376,MASSACHUSETTS,"1,096",144,"101,430",14,"2,237","7,009",773,2004
"10,790","111,785",,332,"5,310",,782,"8,917","45,568","31,520",609,"1,282",872,"1,297","6,214",100,"24,930","24,640","1,812",364,"2,827","30,385","9,403,375","32,384","1,791","2,180","1,700","1,397",MICHIGAN,"5,113",0,"331,479",266,"3,933","14,206","4,763",2004
"2,065","21,867",,149,"2,338",,165,"8,260","23,193","11,841",0,2,557,"1,614","3,072",18,"14,384","21,380",994,38,393,"11,520","3,553,105","17,865",40,341,"1,591",953,MINNESOTA,"1,205",0,"132,255",32,"3,365","3,001",878,2004
"1,372","34,166",,81,"2,160",,674,"8,013","11,844","13,579","6,126",621,212,960,"2,136",317,"8,494","2,995",441,156,"2,803","11,856","2,489,537","11,176",91,509,277,348,MISSISSIPPI,799,117,"113,350",97,"1,370","2,249",736,2004
"9,758","77,826",,382,"5,119",,"1,233","12,106","29,265","35,103","1,994",136,532,"3,030","3,570",199,"25,066","7,742","3,815",321,"4,020","30,083","5,749,093","34,382","1,060","1,858","2,498","2,825",MISSOURI,"1,989",0,"273,415",613,"7,993","12,469","3,279",2004
"1,014","22,479",,111,988,,386,"4,439","13,927","10,732",0,88,196,723,"1,753",22,"8,717","9,579",386,36,"1,668","9,385","1,622,520","10,202",312,317,321,608,NEBRASKA,"1,047",1,"93,098",23,"2,745","1,563","1,095",2004
"3,755","56,611",,105,"4,767",,"3,375","2,141","9,133","9,832",190,360,203,570,"2,710",51,"12,281","7,334","2,004",143,"1,166","15,421","2,253,758","19,157","5,301","1,192","1,257","1,553",NEVADA,"1,793",72,"148,909","2,367","1,633","5,293","1,589",2004
324,"13,096",,24,364,,16,"1,125","5,582","3,389","4,005",18,72,169,"1,060",8,"2,082","5,056",169,6,176,"4,752","991,567","2,639",40,112,388,159,NEW HAMPSHIRE,333,0,"43,769",50,"1,107",514,87,2004
"10,005","136,002",,378,"6,087",,"5,272","21,674","24,837","53,713",4,117,483,"2,349","5,684",152,"25,221","7,570","1,157",270,"15,123","29,167","8,442,614","32,843","2,408","4,095","5,320","1,838",NEW JERSEY,"6,054",4,"379,625","1,213","7,384","14,853","6,044",2004
"2,798","40,722",,44,"1,222",,18,"2,904","12,849","7,429",545,207,137,612,747,2,"5,764","4,575",382,92,"1,117","6,584","2,443,082","7,412",412,369,556,144,NEW MEXICO,898,80,"92,672",12,697,"3,396",754,2004
"9,742","81,239",,382,"7,522",,0,"14,450","27,121","50,313",0,225,739,"4,742","10,536",202,"37,127","5,792","2,658",263,"2,721","26,225","19,807,090","47,689","1,795","3,619",0,"4,402",NEW YORK,"6,178",0,"315,889",972,"12,829","14,363","4,095",2004
"12,387","108,319",,272,"13,031",,15,"13,173","49,749","31,802",0,"1,701",655,"3,435","31,703",347,"32,921","12,135","1,523",536,"8,736","48,597","8,056,872","47,747",693,"2,844",511,"1,030",NORTH CAROLINA,"4,641",0,"393,819",5,"7,457","16,422","5,601",2004
135,"5,993",,18,174,,308,"1,522","4,038","1,538",549,2,34,131,872,0,"1,774","5,506",155,7,206,"1,435","511,360","2,121",16,16,665,91,NORTH DAKOTA,106,0,"26,010",1,582,192,136,2004
"3,983","70,225",,403,"6,664",,"2,246","18,962","20,103","33,164","5,775",35,669,"2,077","3,387",175,"26,213","15,219","2,434",212,"10,934","29,358","11,816,430","35,714","1,392","2,650","1,467","1,339",OHIO,"4,742",120,"271,838",53,"4,910","7,514","2,927",2004
"4,480","34,338",,219,"2,983",,"2,390","3,219","18,914","21,840","23,260",547,343,"1,277","3,616",320,"13,180","3,974","1,087",173,"1,135","10,124","3,406,862","17,469",555,631,"3,618",819,OKLAHOMA,"2,226",0,"158,957",26,"1,382","5,627","2,281",2004
"3,005","22,880",,336,"3,611",,"2,417","7,642","16,724","21,390",0,44,294,"2,250","1,676",4,"23,541","15,481","3,122",125,590,"16,860","3,422,768","30,610",863,"1,386","2,513","1,216",OREGON,496,0,"155,202",4,"4,526","4,810","2,206",2004
"15,149","50,743",,728,"9,688",,"25,830","55,677","41,465","51,743","20,722",364,"1,267","3,800","12,663",290,"38,143","25,838","5,010",536,886,"43,144","12,707,735","53,569","2,952","6,624","2,316","3,130",PENNSYLVANIA,"3,475",0,"441,127","1,081","13,280","23,576","4,583",2004
862,"15,582",,89,838,,15,"3,539","2,367","4,388",10,196,94,221,"1,198",10,"3,305","1,027",257,19,139,"5,877","1,080,632","4,489",215,282,174,110,RHODE ISLAND,509,5,"43,576",14,"1,644","1,257",590,2004
"1,304","3,522",,18,690,,2,"1,395","2,227","3,634","1,275",62,66,636,"2,236",29,"2,630","1,868",145,39,58,"3,034","4,686,467","3,483",34,185,22,145,SOUTH CAROLINA,361,0,"26,540",15,577,"1,594",331,2004
235,"6,708",,15,254,,202,"1,002","3,818","1,542",468,30,57,128,"1,032",1,"1,416","4,511",69,6,164,"1,804","720,592","1,754",1,20,268,117,SOUTH DAKOTA,88,0,"24,475",53,386,318,80,2004
"9,807","72,338",,208,"5,047",,"1,688","11,879","23,684","32,402","19,350",627,296,"3,435","11,121",274,"24,360","7,185","2,409",290,"1,172","26,760","5,840,670","32,024","1,582","2,005","3,062",623,TENNESSEE,"1,025",0,"269,127",35,"3,557","12,398","2,906",2004
"23,148","313,275",,867,"19,361",,"15,251","41,787","96,921","125,343","130,159",553,"2,177","9,547","17,434",451,"102,940","29,903","8,754",834,"4,680","107,388","22,272,789","131,922","6,575","7,294","15,304","5,004",TEXAS,842,15,"1,116,524","4,607","13,091","33,453","13,019",2004
864,"26,591",,88,"1,161",,862,"4,946","5,485","6,702","4,340",12,128,"1,000",911,1,"12,223","8,687",533,45,"1,200","7,775","1,532,299","14,005",353,403,710,844,UTAH,808,0,"90,811",395,"2,573","1,440","1,171",2004
205,"2,316",,20,229,,0,713,"3,243","1,332",0,29,75,83,338,0,739,617,81,7,335,"1,172","619,908","1,069",3,4,3,51,VERMONT,146,0,"12,074",0,317,291,16,2004
"4,103","88,379",,282,"3,340",,"2,280","6,515","22,786","24,011","24,387","1,324",330,"2,367","8,601",17,"20,659","8,338","1,302",280,"1,117","31,714","6,480,254","25,583",723,"1,552","4,326",942,VIRGINIA,917,0,"267,765",82,"3,949","6,265","3,142",2004
