State and type of government,Population 2000 (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
"States-local, total",281418,"$1,742,913,626.00 ","$132,635,690.00 ",7.6,"$56,798,071.00 ",42.8,"$27,032,180.00 ",20.4,"$48,805,439.00 ",36.8
State,-,"$757,027,323.00 ","$53,991,300.00 ",7.1,"$8,580,703.00 ",15.9,"$12,370,672.00 ",22.9,"$33,039,925.00 ",61.2
"Local, total",-,"$985,886,303.00 ","$78,644,390.00 ",8,"$48,217,368.00 ",61.3,"$14,661,508.00 ",18.6,"$15,765,514.00 ",20
Counties,-,"$220,348,039.00 ","$37,508,487.00 ",17,"$13,401,035.00 ",35.7,"$11,180,512.00 ",29.8,"$12,926,940.00 ",34.5
Municipalities,-,"$345,348,693.00 ","$41,135,903.00 ",11.9,"$34,816,333.00 ",84.6,"$3,480,996.00 ",8.5,"$2,838,574.00 ",6.9
Alabama,4447,"$25,319,135.00 ","$1,321,833.00 ",5.2,"$655,951.00 ",49.6,"$261,598.00 ",19.8,"$404,284.00 ",30.6
State,-,"$11,964,239.00 ","$537,086.00 ",4.5,"$92,171.00 ",17.2,"$172,010.00 ",32,"$272,905.00 ",50.8
"Local, total",-,"$13,354,896.00 ","$784,747.00 ",5.9,"$563,780.00 ",71.8,"$89,588.00 ",11.4,"$131,379.00 ",16.7
Counties,-,"$1,620,602.00 ","$314,950.00 ",19.4,"$142,927.00 ",45.4,"$57,169.00 ",18.2,"$114,854.00 ",36.5
Municipalities,-,"$4,034,255.00 ","$469,797.00 ",11.6,"$420,853.00 ",89.6,"$32,419.00 ",6.9,"$16,525.00 ",3.5
Alaska,627,"$8,515,351.00 ","$481,705.00 ",5.7,"$176,972.00 ",36.7,"$129,744.00 ",26.9,"$174,989.00 ",36.3
State,-,"$5,584,192.00 ","$341,390.00 ",6.1,"$49,669.00 ",14.5,"$118,097.00 ",34.6,"$173,624.00 ",50.9
"Local, total",-,"$2,931,159.00 ","$140,315.00 ",4.8,"$127,303.00 ",90.7,"$11,647.00 ",8.3,"$1,365.00 ",1
Boroughs,-,"$1,046,772.00 ","$18,560.00 ",1.8,"$14,577.00 ",78.5,"$3,983.00 ",21.5,$0.00 ,0
Municipalities,-,"$1,758,777.00 ","$121,755.00 ",6.9,"$112,726.00 ",92.6,"$7,664.00 ",6.3,"$1,365.00 ",1.1
Arizona,5131,"$27,293,135.00 ","$2,662,075.00 ",9.8,"$1,096,134.00 ",41.2,"$610,941.00 ",22.9,"$955,000.00 ",35.9
State,-,"$10,375,264.00 ","$949,183.00 ",9.1,"$144,730.00 ",15.2,"$144,230.00 ",15.2,"$660,223.00 ",69.6
"Local, total",-,"$16,917,871.00 ","$1,712,892.00 ",10.1,"$951,404.00 ",55.5,"$466,711.00 ",27.2,"$294,777.00 ",17.2
Counties,-,"$2,985,658.00 ","$826,520.00 ",27.7,"$171,803.00 ",20.8,"$359,965.00 ",43.6,"$294,752.00 ",35.7
Municipalities,-,"$5,558,173.00 ","$886,372.00 ",15.9,"$779,601.00 ",88,"$106,746.00 ",12,$25.00 ,0
Arkansas,2673,"$12,243,360.00 ","$835,961.00 ",6.8,"$351,795.00 ",42.1,"$156,396.00 ",18.7,"$327,770.00 ",39.2
State,-,"$6,863,930.00 ","$439,922.00 ",6.4,"$73,131.00 ",16.6,"$100,394.00 ",22.8,"$266,397.00 ",60.6
"Local, total",-,"$5,379,430.00 ","$396,039.00 ",7.4,"$278,664.00 ",70.4,"$56,002.00 ",14.1,"$61,373.00 ",15.5
Counties,-,"$740,932.00 ","$170,602.00 ",23,"$70,760.00 ",41.5,"$38,702.00 ",22.7,"$61,140.00 ",35.8
Municipalities,-,"$1,785,454.00 ","$225,437.00 ",12.6,"$207,904.00 ",92.2,"$17,300.00 ",7.7,$233.00 ,0.1
California,33872,"$234,115,548.00 ","$22,128,975.00 ",9.5,"$8,703,685.00 ",39.3,"$6,254,902.00 ",28.3,"$7,170,388.00 ",32.4
State,-,"$84,383,256.00 ","$7,586,898.00 ",9,"$1,051,106.00 ",13.9,"$2,417,422.00 ",31.9,"$4,118,370.00 ",54.3
"Local, total",-,"$149,732,292.00 ","$14,542,077.00 ",9.7,"$7,652,579.00 ",52.6,"$3,837,480.00 ",26.4,"$3,052,018.00 ",21
Counties,-,"$42,031,231.00 ","$8,725,755.00 ",20.8,"$2,392,950.00 ",27.4,"$3,381,649.00 ",38.8,"$2,951,156.00 ",33.8
Municipalities,-,"$40,695,966.00 ","$5,816,322.00 ",14.3,"$5,259,629.00 ",90.4,"$455,831.00 ",7.8,"$100,862.00 ",1.7
Colorado,4301,"$26,169,571.00 ","$1,979,115.00 ",7.6,"$830,063.00 ",41.9,"$328,713.00 ",16.6,"$820,339.00 ",41.4
State,-,"$10,226,930.00 ","$856,645.00 ",8.4,"$77,172.00 ",9,"$180,271.00 ",21,"$599,202.00 ",69.9
"Local, total",-,"$15,942,641.00 ","$1,122,470.00 ",7,"$752,891.00 ",67.1,"$148,442.00 ",13.2,"$221,137.00 ",19.7
Counties,-,"$2,148,853.00 ","$455,489.00 ",21.2,"$218,574.00 ",48,"$72,367.00 ",15.9,"$164,548.00 ",36.1
Municipalities,-,"$5,576,612.00 ","$666,981.00 ",12,"$534,317.00 ",80.1,"$76,075.00 ",11.4,"$56,589.00 ",8.5
Connecticut,3406,"$24,011,246.00 ","$1,665,917.00 ",6.9,"$681,914.00 ",40.9,"$430,098.00 ",25.8,"$553,905.00 ",33.2
State,-,"$13,360,650.00 ","$1,091,359.00 ",8.2,"$140,006.00 ",12.8,"$397,448.00 ",36.4,"$553,905.00 ",50.8
"Local, total",-,"$10,650,596.00 ","$574,558.00 ",5.4,"$541,908.00 ",94.3,"$32,650.00 ",5.7,$0.00 ,0
Municipalities,-,"$9,723,886.00 ","$574,558.00 ",5.9,"$541,908.00 ",94.3,"$32,650.00 ",5.7,$0.00 ,0
Delaware,784,"$5,152,073.00 ","$485,081.00 ",9.4,"$166,302.00 ",34.3,"$90,703.00 ",18.7,"$228,076.00 ",47
State,-,"$3,354,648.00 ","$374,694.00 ",11.2,"$62,991.00 ",16.8,"$83,627.00 ",22.3,"$228,076.00 ",60.9
"Local, total",-,"$1,797,425.00 ","$110,387.00 ",6.1,"$103,311.00 ",93.6,"$7,076.00 ",6.4,$0.00 ,0
Counties,-,"$292,521.00 ","$48,734.00 ",16.7,"$41,928.00 ",86,"$6,806.00 ",14,$0.00 ,0
